_id,Avg_Episodes,Avg_Rating
Usagi Ou,15.833333333333334,3.2649999999999997
Pollyanna Graphics,13,3.263333333333333
AIC Classic,8,3.262857142857143
Studio Ugoki,6,3.26
TAKUNBOX,,3.26
Studio Rong,26,3.26
DMM.futureworks,18.428571428571427,3.26
Kitty Film Mitaka Studio,10,3.26
Winter 2009,11,3.26
Studio Puyukai,11.347826086956522,3.2596296296296297
Tele-Cartoon Japan,40.7,3.2575000000000003
Kachidoki Studio,45.19444444444444,3.257027027027027
Craftar,7.6,3.255714285714286
Planet,19,3.254
Jinni's,16,3.2507692307692304
Rabbit Gate,8,3.25
Studio Sign,34,3.25
Dangun Pictures,8.666666666666666,3.2466666666666666
Office AO,5.5,3.245
Fall 2016,14.2,3.242
NAZ,8.7,3.241333333333334
Studio Khronos,,3.24
Trash Studio,1.4,3.24
Office DCI,12,3.24
Live2D Creative Studio,1,3.24
Beat Frog,12,3.24
Sanrio,4.153846153846154,3.236756756756757
Wolfsbane,12.5,3.2350000000000003
Animation 21,61.4,3.2340000000000004
Kanaban Graphics,21.8,3.2340000000000004
C2C,11.928571428571429,3.233888888888889
Spring 2021,13.666666666666666,3.233333333333333
Sparky Animation,26,3.23
Fortes,2,3.23
Children’s Playground Entertainment,12.333333333333334,3.2275
Spring 2020,17,3.225
Iyasakadou,12.666666666666666,3.22
Yi Chen Animation,12.75,3.22
Visual 80,18.363636363636363,3.2176923076923076
Studio Houkiboshi,,3.217142857142857
Jumonji,8,3.215
Fall 2017,8.666666666666666,3.2133333333333334
acca effe,12,3.2133333333333334
Lyrics,5.5,3.2100000000000004
Nakamura Animation,23.5,3.21
KeyEast,,3.21
Takahashi Studio,2,3.21
Winter 2002,48,3.21
Qi Ying Animation,14,3.21
Spring 2005,26,3.21
Summer 2021,9.666666666666666,3.206666666666667
Fall 2018,5.4,3.2060000000000004
Public and Basic,21,3.203333333333333
Yamato Works,1,3.203333333333333
Tokyo Kids,19.571428571428573,3.2024
Millepensee,13.090909090909092,3.2
Office Academy,,3.2
Animation Planet,13.5,3.2
Super Normal Studio,10,3.1966666666666668
Trans Arts,21.125,3.1959999999999997
Dynamo Pictures,10,3.1933333333333334
Anima&Co.,12,3.1933333333333334
Studio Coa,1.5,3.1900000000000004
Team YokkyuFuman,6.5,3.19
Aubec,19.4,3.19
ARMS,7.871794871794871,3.188135593220339
Project No.9,9.192307692307692,3.1849999999999996
Shogakukan Music & Digital Entertainment,48,3.1846153846153844
Encourage Films,9.4,3.182142857142857
Nihon-Animedia,,3.18
Spring 2012,18.5,3.175
Digital Media Lab,25,3.175
Spring 2007,20,3.1719999999999997
,23.445472249269717,3.1713806481058877
Studio 4°C,5.648648648648648,3.170144927536232
Noside,8,3.17
Echoes,1.3333333333333333,3.1671428571428573
Tsuburaya Productions,26,3.1666666666666665
ARTMIC Studios,2.2857142857142856,3.165714285714286
Chaos Project,5,3.1655555555555552
IMOVE,52,3.165
Spring 2001,48,3.165
Wao World,9.5,3.1644444444444444
AIC PLUS+,9,3.1644444444444444
Radix Ace Entertainment,18.74074074074074,3.163333333333333
Piso Studio,6.5,3.16
Nippon Animedia,41.25,3.16
Cyclone Graphics,5.5,3.16
anima,1,3.1566666666666667
Asahi Production,17.708333333333332,3.155666666666667
TANOsim,1,3.1550000000000002
Anon Pictures,1,3.15
Digital Network Animation,,3.15
Fall 2010,7,3.15
Ginga Teikoku,1.5,3.15
Studio Look,1,3.15
DR Movie,13,3.1466666666666665
BLADE,12,3.1466666666666665
Frontier Works,1,3.145
Summer 2018,24,3.145
Zero-G Room,5.3,3.143
Kaname Productions,6.428571428571429,3.14125
Monster's Egg,26,3.14
Daewon Media,25.6,3.14
Spring 2015,19,3.14
Winter 2018,18,3.1366666666666667
Daichi Doga,39,3.135
Spring 2009,39,3.135
Hoods Entertainment,6.612903225806452,3.1325
FCC,7,3.1300000000000003
Japan Vistec,51.666666666666664,3.1300000000000003
Tomovies,12.75,3.13
ALBACROW,16,3.13
Next Media Animation,19.285714285714285,3.1271428571428572
Poncotan,,3.1266666666666665
Big Bang,4.333333333333333,3.116666666666667
Studio Flag,47.666666666666664,3.115
Bee Media,8.125,3.1149999999999998
G-angle,3.2,3.112
Studio Egg,54.333333333333336,3.11
Studio Yamato,3,3.11
Saigo no Shudan,1.3333333333333333,3.1075
Diorama,1,3.1075
EKACHI EPILKA,12,3.106666666666667
Spring 2018,12.8,3.1060000000000003
CoMix Wave Films,6.235294117647059,3.105151515151515
indeprox,1,3.105
Sakura Create,10,3.105
Project Team Sara,1.5,3.1033333333333335
Simogumi,11.4,3.1
Fukushima Gaina,7.25,3.0975
D.A.S.T Corporation,3.6666666666666665,3.0966666666666662
Minakata Laboratory,,3.09625
PP Project,7,3.09
Amber Film Works,19,3.09
Winter 2020,3.5,3.09
Picture Magic,12.642857142857142,3.085
DLE,20.73049645390071,3.080842105263158
Liberty Animation Studio,,3.08
EMT Squared,12,3.08
Plum,14.833333333333334,3.0799999999999996
IMAGIN,11.5,3.07875
Fall 2012,11.333333333333334,3.0775
MooGoo,2,3.075
LIDEN FILMS Osaka Studio,,3.075
Dax Production,27.818181818181817,3.0727272727272723
Studio Fantasia,4,3.072222222222222
LandQ Studios,9.8,3.07125
Phoenix Entertainment,7.75,3.068
ark,9,3.06
Mook Animation,6.5,3.06
Circus Production,1,3.06
HS Pictures Studio,,3.06
Domerica,9,3.0533333333333332
Spring 2013,27.714285714285715,3.0500000000000003
Spring 2019,8,3.05
Studio OX,6.333333333333333,3.043333333333333
Furifurisoshiki,,3.0414285714285714
Winter 2015,,3.04
Kids,20,3.04
Winter 2005,6.5,3.04
N-Design,13,3.04
Kent House,27,3.04
Caviar,,3.04
Spring 2017,65.5,3.0366666666666666
VENET,3.6,3.034
Creators in Pack,9.2,3.0324
Fall 1998,16,3.03
LOGIC&MAGIC,11,3.03
Drive,12,3.0250000000000004
Charaction,12.166666666666666,3.024285714285714
Seven,11.481481481481481,3.0205128205128204
Buemon,12,3.02
Winter 2003,14,3.02
Winter 2014,7,3.013333333333333
ARECT,1,3.01
Fall 2015,6.4,3.008
Ishimori Productions,12,3.005
Frontline,7,3.0033333333333334
Studio Gazelle,3.6666666666666665,3.0033333333333334
AXsiZ,12,3.001428571428572
Stingray,32,2.9966666666666666
Studio A-Cat,12.142857142857142,2.9954545454545456
Yaoyorozu,10.4,2.9918181818181817
IKIF,,2.99
Studio Kyuma,12,2.99
VSL,,2.99
Barnum Laboratory,4.666666666666667,2.986666666666667
Summer 2020,15,2.98
Spring 2004,30.333333333333332,2.9749999999999996
UWAN Pictures,5,2.9699999999999998
RG Animation Studios,41,2.964444444444444
Rikuentai,2,2.9525
Studio Matrix,7.25,2.948
Spring 2011,9.333333333333334,2.9466666666666668
Spring 1997,52,2.94
Fall 2011,7,2.94
Anime R,1,2.92
Saetta,12,2.918
ILCA,15.055555555555555,2.91
Studio Unicorn,1,2.91
NAMU Animation,12,2.91
TIA,12,2.9050000000000002
ACC Production,13.5,2.9050000000000002
Typhoon Graphics,11.5,2.9033333333333338
A-Real,10,2.9
Summer 2009,26,2.9
LMD,19,2.8966666666666665
Minami Machi Bugyousho,2.5,2.895
Viewworks,6.5,2.8899999999999997
Lide,12,2.885
Kenji Studio,1,2.88
Silver,3,2.88
Summer 2004,24,2.87
5th Avenue,,2.87
Winter 2017,7.857142857142857,2.867142857142857
Fall 2013,16,2.8600000000000003
Marvy Jack,12,2.86
PPM,2.5,2.856666666666667
Imagica Lab.,6.5,2.85
Koo-Ki,7,2.8474999999999997
Bevore,1,2.8449999999999998
Summer 2003,15,2.84
Grayscale Arts,1,2.83
SIDO,1.3333333333333333,2.83
Sirius,,2.83
An DerCen,1.5,2.83
Fall 2006,11,2.823333333333333
Shinkuukan,2,2.82
Atelier Giga,1,2.82
Yamamura Animation,1,2.819642857142857
Agent 21,1.75,2.805
Ryu Kato Film Works,,2.8033333333333332
Just,1,2.8
Peak Hunt,3,2.8
Imagica Imageworks,9,2.7975000000000003
IANDA,,2.79
Daiei,2,2.79
Winter 2000,25.5,2.7800000000000002
Makaria,1,2.78
Panda Factory,1,2.78
Studio Kajino,,2.776666666666667
Studio Signal,2.3333333333333335,2.766666666666667
OperaHouse,10,2.765
Studio Live,1.6666666666666667,2.7649999999999997
Assez Finaud Fabric.,12.333333333333334,2.7640000000000002
Winter 2012,40.5,2.76
Magia Doraglier,10,2.745
Sanctuary,2,2.74
DOGA Productions,1,2.74
Digital Media Corporation,,2.74
Hotline,12,2.73
Fall 2002,24,2.71
Studio Durian,1,2.7
Winter 2006,12.5,2.6999999999999997
Studio 88,1,2.6900000000000004
Ishikawa Pro,1,2.69
Cente Studio,1,2.68
Kigumi,,2.67
Sofix,2,2.66
MASTER LIGHTS,12,2.64
Rising Force,12,2.6333333333333333
Studio Tigers,1,2.62
Summer 2008,16.666666666666668,2.62
Bouncy,9.8,2.62
Lunch Box,6.5,2.62
drop,11.333333333333334,2.61
Adonero,12,2.5999999999999996
TERADAMOKEI,1,2.586
Tengu Kobou,12,2.585
Office No. 8,3,2.58
Garden Lodge,1,2.56
Neft Film,1,2.545
Forest Hunting One,12,2.51
Idea Factory,2.6363636363636362,2.505
Studio Binzo,1,2.4875
Arcturus,6,2.46
Romanov Films,5,2.45
Touyou Links,1,2.4
Kelmadick,1,2.4
Build Up,1,2.39
Studio! Cucuri,12,2.385
Marine Entertainment,12,2.38
Kasuga Soft,12,2.36
Soeishinsha,1,2.32
The Village of Marchen,1.25,2.305
Risemore,13,2.3
Polygon Magic,12,2.3
Winter 2016,1,2.23
AIC Frontier,11,2.2133333333333334
Kyotoma,12.8,2.2125
Drawiz,13,1.93
Visual Flight,12,1.3
CCTV Animation,32.5,
Frameworks Entertainment,13,
Spring 2022,,
Fall 2022,,
Studio 5,,
Tsumugi Akita Animation Lab,1,
Studio Lotus,1,
Bibury Animation CG,,
CMAY Animation,52.666666666666664,
studio bh,,
Gakken Eigakyoku,,
Maten Animation,16.5,
Winter 2008,13,
Flying Ship Studio,,
Sean Pictures,1,
Tonko House,,
Summer 1996,140,
FUNNY MOVIE,,
V-sign,,
Qzil.la,,
JJJOY Animation Studios,12,
WillPalette,1,
Winter 2007,11,
ANDo,15,
Oriental Creative Color,17.333333333333332,
Studio Elle,,
Scooter Films,,
Benlai Pictures,12,
Winter 2022,,
SLEE PRODUCTION,,
Jichitai Anime,1,
DURUFIX,,
Speed,,
Buyuu,,
Summer 2001,13,
Summer 2022,,
HiWaPlus,12,
Nanjing Hongying Animation Entertainment,52,
Yi Animation,55,
Welz Animation Studios,1,
Jumondou,,
HuaMei Animation,1,
Studio Holhory,,
CUKA,20,
Pictionary Art Factory,13,
foodunited.,,
Studio Kingyoiro,,
D'Art Shtajio,,
Production +h,,
Computer Technique Group,,
MAT,10,
Studio Kaab,25,
Delpic,4,
Shanghai Xuandong Communication,104,
Spooky Graphic,,
Original Dream,,
