_id,numberOfAnime,averageEpisodes,releasePeriodStart,releasePeriodEnd,averageRating
Pokemon Movie 14: White - Victini and Zekrom,36,37.44444444444444,2003,2015,3.3497222222222223
Pokemon: Diancie,36,42,2003,2015,3.3533333333333335
Pokemon: Utae Meloetta - Rinka no Mi wo Sagase!,36,42,2003,2015,3.361388888888889
Pokemon Movie 13: Zoroark - Master of Illusions,36,37.44444444444444,2003,2015,3.346388888888889
Mameshiba,36,1.5,2008,2020,2.962142857142857
Pokemon Black Version 2 and White Version 2,36,42,2003,2015,3.345833333333333
Princess of the Diamond Domain,36,42,2003,2015,3.3533333333333335
Dragon Ball Z,35,63.75,1986,2018,3.5660000000000003
Mobile Suit Gundam SEED,32,18,1988,2018,3.443548387096774
Love,30,12,2012,2018,3.7760000000000002
Crayon Shin-chan Movie 27: Shinkon Ryokou Hurricane - Ushinawareta Hiroshi,29,107,1992,,3.495862068965517
Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Dai Shuugeki,29,107,1992,,3.5017241379310344
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,29,107,1992,,3.5020689655172417
Crayon Shin-chan Movie 6: Dengeki! Buta no Hizume Daisakusen,29,107,1992,,3.506896551724138
Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,29,107,1992,,3.5
Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!,29,107,1992,,3.506896551724138
Crayon Shin-chan Movie 20: Arashi o Yobu! Ora to Uchuu no Princess,29,107,1992,,3.5075862068965518
Crayon Shin-chan Movie 4: Henderland no Daibouken,29,107,1992,,3.503448275862069
Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,29,107,1992,,3.5037931034482757
Crayon Shin-chan Movie 26: Bakumori! Kung-Fu Boys - Ramen Tairan,29,107,1992,,3.5058620689655173
Crayon Shin-chan Movie 1: Action Kamen vs Haigure Maou,29,107,1992,,3.503448275862069
Crayon Shin-chan Movie 2: Buriburi Oukoku no Hihou,29,107,1992,,3.5048275862068965
Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!,29,107,1992,,3.5058620689655173
Crayon Shin-chan Movie 5: Ankoku Tamatama Daitsuiseki,29,107,1992,,3.5037931034482757
Crayon Shin-chan Movie 9: The Adult Empire Strikes Back,29,107,1992,,3.4962068965517243
Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,29,107,1992,,3.5082758620689654
Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,29,107,1992,,3.504137931034483
Crayon Shin-chan Movie 7: Bakuhatsu! Onsen Wakuwaku Daikessen,29,107,1992,,3.506896551724138
Crayon Shin-chan Movie 28: Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha,29,107,1992,,3.4982758620689656
Crayon Shin-chan Movie 3: Unkokusai no Yabou,29,107,1992,,3.503448275862069
Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,29,107,1992,,3.4982758620689656
Crayon Shin-chan Movie 29: Nazo Meki! Hana no Tenkasu Gakuen,29,107,1992,,3.5017241379310344
Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,29,107,1992,,3.498620689655173
Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,29,107,1992,,3.506551724137931
Crayon Shin-chan Movie 8: Arashi wo Yobu Jungle,29,107,1992,,3.5020689655172417
Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3 Pun Dai Shingeki,29,107,1992,,3.50551724137931
Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,29,107,1992,,3.506551724137931
Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,29,107,1992,,3.5003448275862072
Crayon Shin-chan Movie 25: Shurai! Uchujin Shiriri,29,107,1992,,3.503103448275862
Fate/Grand Order: First Order,27,3.9,2006,2020,3.3622222222222224
Fate/stay night,27,8.714285714285714,2010,2019,3.747037037037037
BanG Dream!,27,16.25,2016,,3.3916000000000004
Fate/Zero,26,9.307692307692308,2006,2017,3.6396153846153845
Fate/stay night: Unlimited Blade Works 2,26,9,2006,2017,3.706538461538462
Lupin III Special 27: Goodbye Partner,26,23,1971,1972,3.7199999999999998
Fate/Kaleid Liner Prisma Illya,25,8.615384615384615,2006,2017,3.6791666666666667
Dragon Ball Z Movie 6: Return of Cooler,25,75.5,1989,2015,3.6807999999999996
Dragon Ball: Episode of Bardock,25,75.5,1989,2015,3.6692
Dragon Ball Z Movie 8: Broly - The Legendary Super Saiyan,25,75.5,1989,2015,3.67
Dragon Ball Z Movie 5: Cooler's Revenge,25,75.5,1989,2015,3.6784
Dragon Ball: Yo! The Return of Son-Goku and Friends!!,25,75.5,1989,2015,3.6763999999999997
Dragon Ball Z Movie 4: Lord Slug,25,75.5,1989,2015,3.6868
Dragon Ball Z Special 1: Bardock - The Father of Goku,25,75.5,1989,2015,3.668
Dragon Ball Z Kai: The Final Chapters,25,78.4,1989,2011,3.6592000000000002
Dragon Ball Z Special 2: The History of Trunks,25,75.5,1989,2015,3.6675999999999997
Dragon Ball Z Movie 2: The World's Strongest,25,75.5,1989,2015,3.6836
Dragon Ball Z Movie 11: Bio-Broly,25,75.5,1989,2015,3.6924
Detective Conan Movie 9: Strategy Above the Depths,25,103,1996,,4.0764
Dragon Ball: Plan to Destroy the Saiyajin,25,90.4,1989,2015,3.6771999999999996
Dragon Ball Z Movie 9: Bojack Unbound,25,75.5,1989,2015,3.6776
Dragon Ball Z Movie 15: Resurrection 'F',25,75.5,1989,2015,3.6675999999999997
Dragon Ball Z Movie 1: Dead Zone,25,75.5,1989,2015,3.6848
Dragon Ball Z Movie 3: The Tree of Might,25,75.5,1989,2015,3.6832
Dragon Ball Z Kai: Bring Peace to the Future! Goku's Spirit is Eternal,25,75.5,1989,2015,3.6688
Cyborg 009: The Cyborg Soldier,25,20.846153846153847,1966,1999,3.2612
Dragon Ball Z Movie 13: Wrath of the Dragon,25,75.5,1989,2015,3.6724
Detective Conan Movie 22: Zero The Enforcer,25,103,1996,,4.0652
Dragon Ball Z: Atsumare! Goku World,25,90.4,1989,2015,3.6812
Dragon Ball Z Kai,25,71.2,1989,2015,3.6648
Dragon Ball Z Movie 7: Super Android 13,25,75.5,1989,2015,3.6795999999999998
Dragon Ball Z Movie 14: Battle of Gods,25,75.5,1989,2015,3.6644
Dragon Ball Z Movie 10: Broly - Second Coming,25,75.5,1989,2015,3.6788
Dragon Ball Z: Plan to Destroy the Saiyajin,25,90.2,1989,2015,3.68
Dragon Ball Z Movie 12: Fusion Reborn,25,75.5,1989,2015,3.6688
Getter Robo G,24,38.333333333333336,1972,2002,3.4008333333333334
Detective Conan Movie 7: Crossroad in the Ancient Capital,24,103,1996,,4.085833333333333
Detective Conan Movie 6: The Phantom of Baker Street,24,103,1996,,4.078333333333333
Fate/kaleid Liner Prisma Illya 2wei Herz!,24,8.615384615384615,2006,2017,3.6904347826086954
Ghost in the Shell: Ghost Chaser,24,14.571428571428571,1995,2014,3.705833333333333
Detective Conan Movie 13: The Raven Chaser,24,103,1996,,4.079166666666667
Detective Conan Movie 11: Jolly Roger in the Deep Azure,24,103,1996,,4.091666666666667
Fate/Kaleid Liner Prisma Illya 2wei!,24,8.615384615384615,2006,2017,3.6908695652173913
Detective Conan Movie 20: The Darkest Nightmare,24,103,1996,,4.076666666666667
Detective Conan Movie 18: The Sniper From Another Dimension,24,103,1996,,4.08
Detective Conan Movie 19: The Hellfire Sunflowers,24,103,1996,,4.082083333333333
Pokemon,24,56.266666666666666,1997,2019,3.4995833333333333
Detective Conan Movie 12: Full Score of Fear,24,103,1996,,4.085
